5934	27923 Cactus Ave #B Moreno Valley CA	Promontory Pointe Homeowners Association	NA	5.4 miles	311 miles	NA	5.2 miles
5934	2254 Moore Street #201 San Diego CA	Promontory Pointe Homeowners Association	763 miles	NA	10.3 miles	4.6 miles	1.5 miles
5935	4070 Porte De Palmas #12 San Diego CA	Madrid Condominium Association	NA	NA	NA	1.2 miles	4.0 miles
5936	751 East Daily Drive #300 Camarillo CA	Stonecrest Patio Owners Association	1.5 miles	3.5 miles	25.4 miles	8.2 miles	1.7 miles
5938	1225 Alpine Road #206 Walnut Creek CA	Vintage Terrace Townhouse Homeowners' Assn	0.8 mile	0.6 mile	4.5 miles	1.1 miles	4.5 miles
5943	8710 Skye Isle Bakersfield CA	Islands On The Links Association	NA	NA	NA	NA	2.0 miles
5944	14780 Pipeline Ave Chino Hills CA	Terra Linda Yorba Linda Homeowners Assn	NA	NA	NA	20.7 miles	0.3 mile
5945	40 South Peak Laguna Miguel CA	South Peak Community Association	2.5 miles	2.1 miles	6.1 miles	5.2 miles	4.5 miles
5946	9665 Chesapeake Drive #300 San Diego CA	Aristata Homeowners Association	0.4 mile	3 ft	2.5 miles	7.9 miles	2.4 miles
5950	79130 Cliff Street Bermuda Dunes CA	Laguna Seca Estates Homeowners' Assn	2.7 miles	6.4 miles	2.8 miles	8.2 miles	1.8 miles
